headline,politics_government,economy_finance,secrutiy_militray,health_medicine,science_climate,technology
"שמונת לווייני התלמידים תבל שוגרו בהצלחה והחלו לשלוח אותות",0,0,0,0,9,10
"מזג האוויר עלול להביא לפגיעה בחיים אדם: ביטול אירועי יום הילולת מירון",0,0,0,8,10,0
"מחקר בשועלים חברותיים מרמז על הדרך בה כלבים הפכו למבויתים",0,0,0,0,10,0
"אינטל במו""מ לרכישת טאואר תמורת 6 מיליארד דולר, המניה נוסקת ב-50% - בגלל הקורונה: 1 מ-8 לא מצליח לשלם שכירות",0,10,0,6,0,8
"מהשפעות נגיף הקורונה: קופים עצבניים השתלטו על רחובות תאילנד",0,0,0,6,8,0
"ברוך מרזל: שוקלים לא לתמוך בבית היהודי בבחירות",10,0,0,0,0,0
"""מכרתי את פרטיות המשתמשים שלי""",0,5,0,0,0,9
"פוטין הכריז מלחמה עם אוקראינה; זלנסקי מזהיר: ""נגן על עצמנו""",10,0,10,0,0,0
"משרד הבריאות אסר על ""הנסיך"" לשווק טחינה",5,6,0,10,0,0
"מחקר ישראלי מצא כי מנת החיסון השלישית מעלה פי עשרה את ההגנה מפני קורונה",0,0,0,10,8,0
"החשד למעילה במושב אחיסמך: נעצר חשוד נוסף, תושב המקום בשנות ה-50 לחייו",0,8,0,0,0,0
"מה היה באמת בגוש תל גולליה? חוקרים חשפו את גודלו האמיתי של 'הענק-התת קרקעי׳",0,0,0,0,9,0
"סין על החוק בארה”ב: איסור שימוש בטיקטוק: 'אינו הוגן'",10,4,0,0,0,10
"היום שאחרי חיסול: ההסלמה הביטחונית נמשכת בגבול",4,0,10,0,0,0
"פיתוח ישראלי של רובוט מחליף אנשי פרסום החל מ-2.99 דולרים",0,8,0,0,0,10
"מזכ""ל האו""ם על ניסוי הטילים של איראן: ""אל תגבירו את המתיחות עם פעולות פזיזות""",10,0,10,0,0,4
"איתמר מדיקל נמכרת ב-538 מיליון דולר, פרמייה של 50% על שוויה בבורסה",0,10,0,7,0,0
"מועצת השלום מכריזה רשמית: ישראל – ברוכה הבאה כחברה ‘מייסדת׳",10,0,2,0,0,0
"מחקר שנערך על צאצאי ""מבצע שלמה"": התנאים ברחם משפיעים על הסיכוי להצלחה",0,0,0,9,8,0
"92% מהקולות: גוש נתניהו 52 | גוש מתנגדיו 56",10,0,0,0,0,0
"האינפלציה הפתיעה לטובה: מדד המחירים עלה ב-3.4% בפברואר, מחיר הדירות זינקו",0,10,0,0,0,0
"הבורסה בתל אביב: מניית טבע תעמוד במוקד המסחר",0,10,0,5,0,0
"צפירת יום הזיכרון תושמע בשעה 11:00",2,0,8,0,0,0
"חמאס מאיים: ""כל מעשה טיפשי של האויב יסב לו הרס וכאב כבד מנשוא""",5,0,10,0,0,0
"בכיר בליכוד: נסכים לאחדות גם עם חלק ממפלגת העבודה",10,0,0,0,0,0
"השורד האחרון: ג'ובאני רוסו הוא הזוכה הגדול של הישרדות VIP",0,0,0,0,0,0
